kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
16.4;0000-2400;;NOR;JXN Marine Norway;;NEu;no;1;;
17.2;0730-0830;24Dec;S;SAQ Grimeton;;Eu;;6;0112;2412
18.2;0000-2400;;IND;VTX Indian Navy;;SAs;v;1;;
18.3;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
19.6;0000-2400;;G;GQD Anthorn;;WEu;an;1;;
19.8;0000-2400;;AUS;NWC US/Australian Navy;;Oc;ex;1;;
20.5;0741-0747;;BLR;RJH69 Molodechno;-TS;EEu;mo;2;;
20.5;0441-0447;;KGZ;RJH66 Bishkek;-TS;CAs;bk;2;;
20.5;1041-1047;;KGZ;RJH66 Bishkek;-TS;CAs;bk;2;;
20.5;1131-1141;;RUS;RJH63 Krasnodar;-TS;EEu;kd;2;;
20.5;0941-0947;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;2;;
20.5;0541-0547;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;2;;
20.9;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
21.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
21.7;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
23;0735-0741;;BLR;RJH69 Molodechno;-TS;EEu;mo;2;;
23;0435-0441;;KGZ;RJH66 Bishkek;-TS;CAs;bk;2;;
23;1035-1041;;KGZ;RJH66 Bishkek;-TS;CAs;bk;2;;
23;1126-1131;;RUS;RJH63 Krasnodar;-TS;EEu;kd;2;;
23;0935-0941;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;2;;
23;0535-0541;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;2;;
23.4;0000-2400;;D;DHO38 German Navy;;Eu;rf;1;;
23.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
24;0000-2400;;USA;NAA US Navy Cutler;;NAO;cu;1;;
24.8;0000-2400;;USA;NLK US Navy Jim Creek;;NAO;jc;1;;
25;0700-0725;;BLR;RJH69 Molodechno;-TS;EEu;mo;2;;
25;0400-0425;;KGZ;RJH66 Bishkek;-TS;CAs;bk;2;;
25;1000-1025;;KGZ;RJH66 Bishkek;-TS;CAs;bk;2;;
25;1100-1120;;RUS;RJH63 Krasnodar;-TS;EEu;kd;2;;
25;0900-0925;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;2;;
25;0500-0525;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;2;;
25.1;0725-0730;;BLR;RJH69 Molodechno;-TS;EEu;mo;2;;
25.1;0425-0430;;KGZ;RJH66 Bishkek;-TS;CAs;bk;2;;
25.1;1025-1030;;KGZ;RJH66 Bishkek;-TS;CAs;bk;2;;
25.1;1120-1123;;RUS;RJH63 Krasnodar;-TS;EEu;kd;2;;
25.1;0925-0930;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;2;;
25.1;0525-0530;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;2;;
25.2;0000-2400;;USA;NML US Navy;;NAm;lm;1;;
25.5;0730-0735;;BLR;RJH69 Molodechno;-TS;EEu;mo;2;;
25.5;0430-0435;;KGZ;RJH66 Bishkek;-TS;CAs;bk;2;;
25.5;1030-1035;;KGZ;RJH66 Bishkek;-TS;CAs;bk;2;;
25.5;1123-1126;;RUS;RJH63 Krasnodar;-TS;EEu;kd;2;;
25.5;0930-0935;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;2;;
25.5;0530-0535;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;2;;
37.5;0000-2400;;ISL;TFK Grindavik;;NEu;g;1;;
40;0000-2400;;J;JJY (ID x15,x45);-TS;FE;o;1;;
45.9;0000-2400;;I;NSY Sicily;;SEu;sy;1;;
60;0000-2400;;G;MSF Time from NPL;-TS;Eu;an;1;;
60;0000-2400;;J;JJY (ID x15,x45);-TS;FE;h;1;;
60;0000-2400;;USA;WWVB Colorado;-TS;USA;ff;1;;
66.66;0000-2400;;RUS;RBU Time Signal;-TS;EEu;t;1;;
68.5;0000-2400;;CHN;BPC Time Signal;-TS;FE;sq;1;;
77.5;0000-2400;;D;DCF77 Mainflingen;-TS;Eu;mf;1;;
129.1;0000-2400;;D;EFR Teleswitch;;CEu;mf;1;;
135.6;0000-2400;;HNG;EFR Teleswitch;;CEu;lh;1;;
139;0000-2400;;D;EFR Teleswitch;;CEu;bu;1;;
147.3;0000-2400;;D;DDH47 DWD Pinneberg RTTY;E;Eu;pi;1;;
171;0000-0100;;MRC;Medi 1;A;NAf;n;1;;
171;0100-0200;Sa-Mo;MRC;Medi 1;A;NAf;n;1;;
171;0100-0200;Tu-Fr;MRC;Medi 1;F;NAf;n;1;;
171;0200-0520;;MRC;Medi 1;A;NAf;n;1;;
171;0520-0600;;MRC;Medi 1;F;NAf;n;1;;
171;0600-0615;;MRC;Medi 1;A;NAf;n;1;;
171;0615-0617;;MRC;Medi 1;F;NAf;n;1;;
171;0617-0630;;MRC;Medi 1;A;NAf;n;1;;
171;0630-0645;;MRC;Medi 1;F;NAf;n;1;;
171;0645-0715;;MRC;Medi 1;A;NAf;n;1;;
171;0715-0746;;MRC;Medi 1;F;NAf;n;1;;
171;0746-0753;;MRC;Medi 1;A;NAf;n;1;;
171;0753-0800;;MRC;Medi 1;F;NAf;n;1;;
171;0800-0815;;MRC;Medi 1;A;NAf;n;1;;
171;0815-0900;;MRC;Medi 1;F;NAf;n;1;;
171;0900-0930;;MRC;Medi 1;A;NAf;n;1;;
171;0930-1000;;MRC;Medi 1;F;NAf;n;1;;
171;1000-1030;;MRC;Medi 1;A;NAf;n;1;;
171;1030-1200;;MRC;Medi 1;F;NAf;n;1;;
171;1200-1230;;MRC;Medi 1;A;NAf;n;1;;
171;1230-1300;;MRC;Medi 1;F;NAf;n;1;;
171;1300-1400;Fr-Su;MRC;Medi 1;A;NAf;n;1;;
171;1300-1400;Mo-Th;MRC;Medi 1;F;NAf;n;1;;
171;1400-1430;;MRC;Medi 1;A;NAf;n;1;;
171;1430-1435;;MRC;Medi 1;F;NAf;n;1;;
171;1435-1500;Fr-Su;MRC;Medi 1;A;NAf;n;1;;
171;1435-1500;Mo-Th;MRC;Medi 1;F;NAf;n;1;;
171;1500-1503;;MRC;Medi 1;A;NAf;n;1;;
171;1503-1530;Fr-Su;MRC;Medi 1;A;NAf;n;1;;
171;1503-1530;Mo-Th;MRC;Medi 1;F;NAf;n;1;;
171;1530-1533;;MRC;Medi 1;F;NAf;n;1;;
171;1533-1600;Fr-Su;MRC;Medi 1;A;NAf;n;1;;
171;1533-1600;Mo-Th;MRC;Medi 1;F;NAf;n;1;;
171;1600-1603;;MRC;Medi 1;A;NAf;n;1;;
171;1603-1700;;MRC;Medi 1;F;NAf;n;1;;
171;1700-1703;;MRC;Medi 1;A;NAf;n;1;;
171;1703-1800;;MRC;Medi 1;F;NAf;n;1;;
171;1800-1813;;MRC;Medi 1;A;NAf;n;1;;
171;1813-1855;;MRC;Medi 1;F;NAf;n;1;;
171;1855-1930;;MRC;Medi 1;A;NAf;n;1;;
171;1930-1945;;MRC;Medi 1;F;NAf;n;1;;
171;1945-2100;;MRC;Medi 1;A;NAf;n;1;;
171;2100-2103;;MRC;Medi 1;F;NAf;n;1;;
171;2103-2300;;MRC;Medi 1;A;NAf;n;1;;
171;2300-2400;;MRC;Medi 1;F;NAf;n;1;;
171;0100-0500;;RUS;Voice of Russia;R;Cau;a;6;2810;3112
171;0500-0600;;RUS;Voice of Russia;CHE;Cau;a;6;2810;3112
171;0600-1200;;RUS;Voice of Russia;R;Cau;a;6;2810;3112
171;1200-1300;;RUS;Voice of Russia;CHE;Cau;a;6;2810;3112
171;1300-2000;;RUS;Voice of Russia;R;Cau;a;6;2810;3112
225;1740-1800;;CVA;Radio Vaticana;PO;Eu;/POL;2;;
225;1800-1740;;POL;Polskie Radio 1;PO;Eu;;2;;
234;0600-0610;Mo-Fr;RUS;GTRK Magadan;R;FE;ma;1;;
234;1910-2000;Su-Th;RUS;GTRK Magadan;R;FE;ma;1;;
234;2200-2210;Su-Th;RUS;GTRK Magadan;R;FE;ma;1;;
234;2200-2300;Fr;RUS;GTRK Magadan;R;FE;ma;1;;
234;1700-1300;;RUS;Radio Rossii;R;FE;ma;1;;
243;0445-0515;;DNK;Danmarks Radio;DA;NEu;;2;;
243;0700-0730;Su;DNK;Danmarks Radio;DA;NEu;;2;;
243;0730-0815;;DNK;Danmarks Radio;DA;NEu;;2;;
243;1045-1115;;DNK;Danmarks Radio;DA;NEu;;2;;
243;1645-1715;;DNK;Danmarks Radio;DA;NEu;;2;;
279;0000-2400;;BLR;Belaruskoye Radio 1;BY;EEu;;1;;
279;1600-1700;Mo-Fr;BLR;Radio Stalitsa;BY;EEu;;2;;
558;1500-1800;;CHN;China Radio Int.;E;SEA;;1;;
558;1000-1200;;RUS;Voice of Russia;D;Eu;/SUI;6;2810;3112
558;1500-1700;;RUS;Voice of Russia;D;Eu;/SUI;6;2810;3112
558;1700-1800;;RUS;Voice of Russia;I;Eu;/SUI;6;2810;3112
558;1800-1900;;RUS;Voice of Russia;D;Eu;/SUI;6;2810;3112
558;1900-2100;;RUS;Voice of Russia;F;Eu;/SUI;6;2810;3112
567;0630-0700;;LAO;Lao National Radio;HM;SEA;;1;;
567;0700-0730;;LAO;Lao National Radio;KHM;SEA;;1;;
567;0930-1400;;LAO;Lao National Radio;LAO;SEA;;1;;
567;1400-1430;;LAO;Lao National Radio;E;SEA;;1;;
567;1430-1500;;LAO;Lao National Radio;F;SEA;;1;;
567;1500-1530;;LAO;Lao National Radio;VN;SEA;;1;;
567;1530-1600;;LAO;Lao National Radio;KH;SEA;;1;;
567;2200-2230;;LAO;Lao National Radio;HM;SEA;;1;;
567;2230-2300;;LAO;Lao National Radio;KHM;SEA;;1;;
567;2300-0630;;LAO;Lao National Radio;LAO;SEA;;1;;
576;0230-1630;;IRN;IRIB Voice of I.R.Iran;A;ME;mh;1;;
576;0230-0330;SaSu;MYA;Myanma Radio;BR;SEA;;1;;
576;0330-0700;;MYA;Myanma Radio;BR;SEA;;1;;
576;0700-0730;;MYA;Myanma Radio;E;SEA;;1;;
576;0930-1530;;MYA;Myanma Radio;BR;SEA;;1;;
576;1530-1630;;MYA;Myanma Radio;E;SEA;;1;;
576;2300-0230;;MYA;Myanma Radio;BR;SEA;;1;;
585;0345-0630;;CVA;Radio Vaticana;I;SEu;;6;2412;2412
585;0350-0630;31Dec;CVA;Radio Vaticana;I;SEu;;6;2912;3112
585;0630-0700;;CVA;Radio Vaticana;L;SEu;;2;;
585;0700-0715;Mo-Sa;CVA;Radio Vaticana;I;SEu;;2;;
585;0715-0730;Mo-Sa;CVA;Radio Vaticana;F;SEu;;2;;
585;0730-0745;Mo-Sa;CVA;Radio Vaticana;E;SEu;;2;;
585;0820-1130;01Jan;CVA;Radio Vaticana;I;SEu;;6;2912;0101
585;0830-0915;Su;CVA;Radio Vaticana;I;SEu;;2;;
585;0915-1100;We;CVA;Radio Vaticana;Aud;SEu;;2;;
585;0930-1050;Su;CVA;Radio Vaticana;LTO;SEu;;2;;
585;1050-1200;;CVA;Radio Vaticana;I;SEu;;6;2512;2512
585;1100-1130;Su;CVA;Radio Vaticana;Ang;SEu;;2;;
585;1100-1130;;CVA;Radio Vaticana;Ang;SEu;;6;2612;2612
585;1100-1130;01Jan;CVA;Radio Vaticana;Ang;SEu;;6;2912;0101
585;1300-1320;;CVA;Radio Vaticana;I;SEu;;2;;
585;1630-1700;;CVA;Radio Vaticana;I;SEu;;2;;
585;1700-1715;;CVA;Radio Vaticana;F;SEu;;2;;
585;1715-1730;;CVA;Radio Vaticana;E;SEu;;2;;
585;1940-2000;;CVA;Radio Vaticana;Ros;SEu;;2;;
585;2050-2300;;CVA;Radio Vaticana;I;SEu;;6;2412;2412
585;2200-2220;;CVA;Radio Vaticana;I;SEu;;2;;
585;2220-2240;;CVA;Radio Vaticana;L;SEu;;2;;
585;2240-2300;;CVA;Radio Vaticana;I;SEu;;2;;
594;0130-0230;;IND;All India Radio GOS;NE;NPL;ko;8;;
594;0300-0430;;IND;All India Radio GOS;BE;BGD;ko;8;;
594;0800-1100;;IND;All India Radio GOS;BE;BGD;ko;8;;
594;0230-0330;SaSu;MYA;Myanma Radio;BR;SEA;;1;;
594;0930-1530;;MYA;Myanma Radio;BR;SEA;;1;;
594;1530-1630;;MYA;Myanma Radio;E;SEA;;1;;
594;2300-0230;;MYA;Myanma Radio;BR;SEA;;1;;
603;0400-0600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1100-1200;;CHN;China Radio Int.;CA;SEA;d;1;;
603;1500-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;2300-0100;;CHN;China Radio Int.;VN;SEA;d;1;;
603;0820-0830;Su;ROU;Radio Bukarest;D;ROU;;2;;
603;1200-1300;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;
610;2300-2330;Mo,Sa;EQA;HCJB Voice of Andes;D;SAm;/PRG;1;;
612;0130-0330;;IRN;IRIB Voice of I.R.Iran;A;ME;q;1;;
612;0330-0530;;IRN;IRIB Voice of I.R.Iran;KU;ME;q;1;;
612;0530-1630;;IRN;IRIB Voice of I.R.Iran;A;ME;q;1;;
612;2200-2230;;POL;Polskie Radio;BY;BLR;/LTU;2;;
612;1100-1700;;TWN;Radio Taiwan Int.;M;SEA;L;1;;
612;0300-0500;;USA;Radio Liberty;BY;BLR;/LTU;1;;
612;1500-2100;;USA;Radio Liberty;BY;BLR;/LTU;1;;
621;1300-1400;;KRE;PBS Pyongyang Pansong;K;FE;c;1;3012;
621;1300-2030;;KRE;PBS Pyongyang Pansong;K;FE;c;6;2810;2912
621;1800-2000;;KRE;PBS Pyongyang Pansong;K;FE;c;1;3012;
621;0700-1300;;KRE;Voice of Korea;J;J;c;1;;
621;1400-1500;;KRE;Voice of Korea;R;FE;c;1;3012;
621;1500-1600;;KRE;Voice of Korea;R;FE;c;1;3012;
621;1600-1700;;KRE;Voice of Korea;D;FE;c;1;3012;
621;1700-1800;;KRE;Voice of Korea;R;FE;c;1;3012;
621;2000-2100;;KRE;Voice of Korea KCBS;K;FE;c;1;3012;
621;2100-2400;;KRE;Voice of Korea;J;J;c;1;;
621;0400-0900;Mo-Fr;MDA;Radio PMR Pridnestrovye;R;EEu;;0;;
621;1700-2200;Mo-Fr;MDA;Radio PMR Pridnestrovye;R;EEu;;6;2810;3112
621;0400-1600;;RUS;Voice of Russia;R;EEu;/MDA;6;2810;3112
621;0400-1300;;USA;Radio Mashaal;PS;AFG;/AFG-x;1;;
621;0100-0400;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1300-1900;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
630;1100-1200;;ROU;Radio Temeswar;D;ROU;;2;;
630;1700-1800;;ROU;Radio Temeswar;D;ROU;;2;;
630;0500-0900;;RUS;Voice of Russia;R;Eu;/D-br;6;2810;0201
630;0900-1200;;RUS;Voice of Russia;D;Eu;/D-br;6;2810;0201
630;1200-1500;;RUS;Voice of Russia;R;Eu;/D-br;6;2810;0101
630;1500-1900;;RUS;Voice of Russia;D;Eu;/D-br;6;2810;0101
630;1900-2300;;RUS;Voice of Russia;R;Eu;/D-br;6;2810;0101
639;0300-0330;;G;BBC;E;EGY;/CYP;1;;
639;0330-2100;;G;BBC;A;EGY;/CYP;1;;
639;0330-0430;;IRN;IRIB Voice of I.R.Iran;KU;ME;bb;1;;
639;1330-1630;;IRN;IRIB Voice of I.R.Iran;KU;ME;bb;1;;
639;1830-1930;;IRN;IRIB Voice of I.R.Iran;TU;ME;bb;1;;
639;0130-0200;;MYA;Thazin Radio;E;SEA;p;1;;
639;0430-0630;;MYA;Thazin Radio;E;SEA;p;1;;
639;1030-1430;;MYA;Thazin Radio;BR;SEA;p;1;;
639;1430-1500;;MYA;Thazin Radio;E;SEA;p;1;;
639;2330-0130;;MYA;Thazin Radio;BR;SEA;p;1;;
648;0100-0400;;RUS;Voice of Russia;E;CAs;/TJK;0;;
648;1000-1400;;RUS;Voice of Russia;M;FE;v;0;;
648;1200-1400;;RUS;Voice of Russia;AFG;AFG;/TJK;0;;
648;1400-1500;;RUS;Voice of Russia;E;CAs;/TJK;0;;
648;1500-1700;;RUS;Voice of Russia;FS;IRN;/TJK;0;;
648;1700-1900;;RUS;Voice of Russia;E;CAs;/TJK;0;;
648;1500-1900;;USA;Radio Free Asia;K;FE;/RUS-v;1;;
648;2100-2200;;USA;Radio Free Asia;K;FE;/RUS-v;1;;
648;1900-2100;;USA;Voice of America;K;FE;/RUS-v;1;;
657;0000-0100;;RUS;Voice of Russia;CHE;Cau;gr;6;2810;3112
657;0100-0500;;RUS;Voice of Russia;R;Cau;gr;6;2810;3112
657;0500-0600;;RUS;Voice of Russia;CHE;Cau;gr;6;2810;3112
657;0600-1200;;RUS;Voice of Russia;R;Cau;gr;6;2810;3112
657;1200-1300;;RUS;Voice of Russia;CHE;Cau;gr;6;2810;3112
657;1300-2000;;RUS;Voice of Russia;R;Cau;gr;6;2810;3112
657;2000-2100;;RUS;Voice of Russia;CHE;Cau;gr;6;2810;3112
657;2100-2400;;RUS;Voice of Russia;R;Cau;gr;6;2810;3112
657;1800-1900;;UKR;Radio Ukraine Int.;RO;ROU;;2;;
657;2000-2100;;UKR;Radio Ukraine Int.;RO;ROU;;2;;
657;2200-2225;;UKR;Radio Ukraine Int.;RO;ROU;;2;;
684;0000-0100;;CHN;China Radio Int.;KH;SEA;d;1;;
684;0400-0600;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1030-1130;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1200-1300;;CHN;China Radio Int.;E;SEA;d;1;;
684;1400-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
684;2300-2400;;CHN;China Radio Int.;KH;SEA;d;1;;
684;0400-0600;;KRE;Echo of Unification;K;KOR;;1;0112;
684;1200-1400;;KRE;Echo of Unification;K;KOR;;1;0112;
684;2200-2300;;KRE;Echo of Unification;K;KOR;;1;0112;
693;0500-0600;;RUS;Voice of Russia;R;Eu;/D-or;6;2810;3112
693;0500-0900;;RUS;Voice of Russia;R;Eu;/D-or;0;;
693;0900-1200;;RUS;Voice of Russia;D;Eu;/D-or;0;;
693;1200-1500;;RUS;Voice of Russia;R;Eu;/D-or;6;2810;3112
693;1500-1700;;RUS;Voice of Russia;D;Eu;/D-or;6;2810;3112
693;1500-1900;;RUS;Voice of Russia;D;Eu;/D-or;6;0101;3103
693;1700-1800;;RUS;Voice of Russia;PO;Eu;/D-or;6;2810;3112
693;1800-1900;;RUS;Voice of Russia;D;Eu;/D-or;6;2810;3112
693;1900-2300;;RUS;Voice of Russia;R;Eu;/D-or;6;2810;3112
702;0800-1300;;CHN;China Radio Int.;F;Eu;/MCO;1;;
702;1300-1500;;CHN;China Radio Int.;M;Eu;/MCO;1;;
702;1500-1800;;CHN;China Radio Int.;I;Eu;/MCO;1;;
702;1800-2300;;CHN;China Radio Int.;F;Eu;/MCO;1;;
702;0700-1200;;CLA;Nat.R. of Saharan ADR;A;NAf;/ALG-t;1;;
702;1200-1300;;CLA;Nat.R. of Saharan ADR;S;NAf;/ALG-t;1;;
702;1700-1800;;CLA;Nat.R. of Saharan ADR;S;NAf;/ALG-t;1;;
702;1800-2300;;CLA;Nat.R. of Saharan ADR;A;NAf;/ALG-t;1;;
702;2300-2330;;CLA;Nat.R. of Saharan ADR;S;NAf;/ALG-t;1;;
702;1500-2100;;G;BBC;E;ME;/OMA;1;;
702;0015-0430;;IND;All India Radio GOS;UR;PAK;j;1;;
702;0800-0830;;IND;All India Radio GOS;PJ;PAK;j;1;;
702;0830-1130;;IND;All India Radio GOS;UR;PAK;j;1;;
702;1130-1230;;IND;All India Radio GOS;PJ;PAK;j;1;;
702;1230-1300;;IND;All India Radio GOS;SIR;PAK;j;1;;
702;1300-1430;;IND;All India Radio GOS;PJ;PAK;j;1;;
702;1430-1930;;IND;All India Radio GOS;UR;PAK;j;1;;
702;0300-0330;;IRN;IRIB Voice of I.R.Iran;R;Cau;ki;1;;
702;0330-0530;;IRN;IRIB Voice of I.R.Iran;AZ;Cau;ki;1;;
702;1030-1130;;IRN;IRIB Voice of I.R.Iran;E;Cau;ki;1;;
702;1430-1700;;IRN;IRIB Voice of I.R.Iran;AZ;Cau;ki;1;;
702;1700-1800;;IRN;IRIB Voice of I.R.Iran;GE;Cau;ki;1;;
702;1800-1830;;IRN;IRIB Voice of I.R.Iran;SWA;Cau;ki;1;;
702;1830-1930;;IRN;IRIB Voice of I.R.Iran;TU;ME;ki;1;;
702;1930-2030;;IRN;IRIB Voice of I.R.Iran;R;Cau;ki;1;;
720;0300-2100;;G;BBC;A;ME;/CYP;1;;
720;0100-0230;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;t;1;;
720;0300-0630;;IRN;IRIB Voice of I.R.Iran;DR;AFG;t;1;;
720;0830-1500;;IRN;IRIB Voice of I.R.Iran;DR;AFG;t;1;;
720;1600-1730;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;t;1;;
720;1200-1400;;RUS;Voice of Russia;J;J;ys;0;;
729;2155-1700;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
738;0300-0400;;CHN;China Radio Int.;E;EEu;/RUS-m;0;;
738;0330-0400;;J;NHK Radio Japan;R;EEu;/RUS-m;0;;
738;1600-1630;;J;NHK Radio Japan;R;EEu;/RUS-m;0;;
738;2030-2100;;KOR;KBS World Radio;R;EEu;/RUS-m;0;;
738;0000-0030;;TWN;Radio Taiwan Int.;R;EEu;/RUS-m;0;;
750;1400-1500;;TWN;Radio Taiwan Int.;E;ENA;/USA;0;;
765;0030-0130;;IRN;IRIB Voice of I.R.Iran;BE;SAs;c;1;;
765;0130-0230;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;0230-0330;;IRN;IRIB Voice of I.R.Iran;PS;SAs;c;1;;
765;0330-1030;;IRN;IRIB Voice of I.R.Iran;A;SAs;c;1;;
765;1030-1130;;IRN;IRIB Voice of I.R.Iran;E;SAs;c;1;;
765;1230-1330;;IRN;IRIB Voice of I.R.Iran;PS;SAs;c;1;;
765;1330-1430;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;1530-1800;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;1830-2130;;IRN;IRIB Voice of I.R.Iran;A;SAs;c;1;;
783;0600-0900;;SYR;Radio Damascus;HB;ME;;1;;
783;2155-1700;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
801;0100-0200;;RUS;Voice of Russia;E;CAs;/TJK;0;;
801;1200-1300;;RUS;Voice of Russia;M;FE;c;0;;
801;1200-1400;;RUS;Voice of Russia;AFG;AFG;/TJK;0;;
801;1300-1400;;RUS;Voice of Russia;MO;FE;c;0;;
801;1400-1500;;RUS;Voice of Russia;UR;SAs;/TJK;0;;
801;1500-1600;;RUS;Voice of Russia;HI;SAs;/TJK;0;;
801;1600-1900;;RUS;Voice of Russia;E;CAs;/TJK;0;;
819;2200-1600;;VTN;Voice of Vietnam 4;Vn;VTN;b;1;;
846;0745-0005;;TWN;Han Sheng V.o.Kuanghua;M;FE;y;1;;
864;0200-0300;;USA;Radio Liberty;TK;CAs;/ARM;1;;
864;1500-1530;;USA;Radio Liberty;UZ;CAs;/ARM;1;;
864;1530-1600;;USA;Radio Liberty;TK;CAs;/ARM;1;;
864;1610-1625;;USA;Trans World Radio;TK;CAs;/ARM;1;;
864;1625-1640;;USA;Trans World Radio;KZ;CAs;/ARM;1;;
864;1640-1655;SaSu;USA;Trans World Radio;KPK;CAs;/ARM;1;;
864;1640-1710;Mo-Fr;USA;Trans World Radio;R;CAs;/ARM;1;;
864;1655-1710;Sa;USA;Trans World Radio;R;CAs;/ARM;1;;
864;1655-1710;Su;USA;Trans World Radio;UZ;CAs;/ARM;1;;
864;1710-1740;;USA;Trans World Radio;UZ;CAs;/ARM;1;;
864;1740-1755;Th;USA;Trans World Radio;AD;CAs;/ARM;1;;
864;1740-1755;Su;USA;Trans World Radio;CHE;CAs;/ARM;1;;
864;1740-1755;We;USA;Trans World Radio;DAR;CAs;/ARM;1;;
864;1740-1755;Fr;USA;Trans World Radio;KMY;CAs;/ARM;1;;
864;1740-1755;Tu;USA;Trans World Radio;LEZ;CAs;/ARM;1;;
864;1740-1755;Mo;USA;Trans World Radio;TBS;CAs;/ARM;1;;
864;1740-1755;Sa;USA;Trans World Radio;TT;CAs;/ARM;1;;
873;0132-0202;Su;G;FEBA Radio;TAM;SAs;/CLN;1;;
873;0900-1100;;HNG;Radio Pecs Fünfkirchen;D;HNG;;2;;
873;0130-0230;;USA;WYFR Family Radio;TAM;SAs;/CLN;6;2810;2511
873;0230-0300;;USA;WYFR Family Radio;MAL;SAs;/CLN;6;2810;2511
873;0330-0430;;USA;WYFR Family Radio;E;SAs;/CLN;6;2810;2511
873;0900-1030;;USA;WYFR Family Radio;MAL;SAs;/CLN;6;2810;2511
873;1030-1130;;USA;WYFR Family Radio;TAM;SAs;/CLN;6;2810;2511
880;0000-2400;;B;Rádio Inconfidência;P;B;c;1;;
909;0820-0830;Su;ROU;Radio Bukarest;D;ROU;;2;;
909;1200-1300;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;
909;0200-0300;;USA;Voice of America;E;SAf;/BOT;6;0711;0711
909;0300-0700;;USA;Voice of America;E;SAf;/BOT;1;;
909;1600-1700;;USA;Voice of America;E;Af;/BOT;1;;
909;1700-1800;;USA;Voice of America;ZWE;ZWE;/BOT;1;;
909;1800-2100;;USA;Voice of America;E;Af;/BOT;1;;
918;2130-2135;;SVN;Radio Slovenija;E;Eu;;2;;
918;2135-2140;;SVN;Radio Slovenija;D;Eu;;2;;
918;1200-1500;;USA;WYFR Family Radio;IN;INS;/INS;6;2810;2511
927;1600-1630;;J;NHK Radio Japan;R;CAs;/TJK;0;;
927;1630-1700;;J;NHK Radio Japan;FS;IRN;/TJK;0;;
927;1700-1745;;J;NHK Radio Japan;UR;SAs;/TJK;0;;
927;0100-0400;;RUS;Voice of Russia;E;CAs;/TJK;0;;
927;1300-1400;;RUS;Voice of Russia;E;CAs;/TJK;0;;
927;1400-1500;;RUS;Voice of Russia;UR;SAs;/TJK;0;;
927;1500-1600;;RUS;Voice of Russia;E;CAs;/TJK;0;;
927;1800-1900;;RUS;Voice of Russia;E;CAs;/TJK;0;;
963;0300-0500;;CHN;China Radio Int.;R;Eu;/FIN-p;2;;
963;0500-0600;;CHN;China Radio Int.;ES;Eu;/FIN-p;2;;
963;0600-0700;;CHN;China Radio Int.;LT;Eu;/FIN-p;2;;
963;1000-1600;;CHN;China Radio Int.;R;Sib;;1;;
963;1700-1800;;CHN;China Radio Int.;R;Eu;/FIN-p;2;;
963;1800-1900;;CHN;China Radio Int.;PO;Eu;/FIN-p;2;;
963;1900-2000;;CHN;China Radio Int.;CZ;Eu;/FIN-p;2;;
963;2000-2100;;CHN;China Radio Int.;D;Eu;/FIN-p;2;;
963;1200-1500;;USA;WYFR Family Radio;IN;INS;/INS;6;2810;2511
972;0350-2400;;KOR;KBS Hanminjok;K;FE;d;1;;
972;0200-0400;;RUS;Voice of Russia;E;CAs;/TJK;0;;
972;1200-1300;;RUS;Voice of Russia;E;CAs;/TJK;0;;
972;1300-1400;;RUS;Voice of Russia;HI;SAs;/TJK;0;;
972;1400-0200;;USA;Voice of America;UR;SAs;/TJK;1;;
990;0830-0900;;MNG;Voice of Mongolia;MO;As;;6;2810;3112
990;0900-0930;;MNG;Voice of Mongolia;M;As;;6;2810;3112
