Azores;AZR;490.0;J;CTH;Horta;38 32 N;28 38 W;II;PP
Canada;CAN;490.0;D;VCK;Riviere-au-Renard, OC;50 11 N;66 07 W;IV;FF
Canada;CAN;490.0;J;VOO;Sydney, NS;46 11 N;59 54 W;IV;FF
Canada;CAN;490.0;S;VFF;Iqaluit, NU;63 44 N;68 33 W;IV;FF
Canada;CAN;490.0;V;VAR-3;Fundy, NB;43 45 N;66 10 W;IV;FF
Canary Isles;CNR;490.0;A;EAL;Las Palmas;28 09 N;15 25 W;II;SS
Cape Verde;CPV;490.0;P;D4A;Sao Vicente;16 51 N;25 00 W;II;EE
Ecuador;EOA;490.0;A;;Ayora;00 45 S;90 19 W;XII;SS
England;ENG;490.0;T;GNI;Niton;50 35 N;01 18 W;I;FF
England;ENG;490.0;I;GNI;Niton;50 35 N;01 18 W;I;EE
England;ENG;490.0;U;GOC;Cullercoats;55 04 N;01 28 W;I;EE
France;FRA;490.0;E;FRC;CROSS Corsen;48 24 N;05 03 W;II;FF
France;FRA;490.0;S;FRL;CROSS La Garde;43 06 N;05 59 E;III;FF
Germany;DEU;490.0;L;DDH47;Pinneberg;53 43 N;09 55 E;I;DD
Iceland;ISL;490.0;R;TFA;Reykiavik;64 05 N;21 51 W;I;IS
Italy;ICH;490.0;I;IAR;La Maddalena;41 13 N;09 25 E;III;II
Italy;IQM;490.0;E;IAR;Mondolfo;43 45 N;13 05 E;III;II
Italy;ICI;490.0;W;IAR;Sellia Marina;38 54 N;16 44 E;III;II
Portugal;POR;490.0;G;CTV;Monsanto;38 44 N;09 11 W;II;PP
Romania;ROU;490.0;L;YOI;Constanta;44 12 N;28 40 E;III;RO
Scotland;SCT;490.0;C;GPK;Portpatrick;54 51 N;05 07 W;I;EE
South Korea;KOR;490.0;J;;Chukpyon;37 03 N;129 26 E;XI;KO
South Korea;KOR;490.0;K;;Pyonsan;35 36 N;126 29 E;XI;KO
Spain;ESP;490.0;M;EAV;Valencia (Cabo de la Nao);39 27 N;00 20 W;III;SS
Spain;ESP;490.0;T;EAC;Tarifa;36 01 N;05 35 W;II;SS
Spain;ESP;490.0;W;EAR;Coruna;43 22 N;08 27 W;II;SS
Taiwan;TWN;490.0;V;;Lintou;23 33 N;119 38 E;XI;CC
Taiwan;TWN;490.0;X;XSY;Yenliaoken;23 54 N;121 36 E;XI;CC
Turkey;TUR;490.0;A;TAF;Samsun;41 17 N;36 20 E;III;TT
Turkey;TUR;490.0;B;TAH;Istanbul;41 04 N;28 57 E;III;TT
Turkey;TUR;490.0;C;TAN;Izmir;38 22 N;26 36 E;III;TT
Turkey;TUR;490.0;D;TAL;Antalya;36 53 N;30 42 E;III;TT
Uruguay;URG;490.0;A;CWM27;La Paloma;34 40 S;54 09 W;VI;SS
Alaska;ALS;518.0;J;NOJ;Kodiak (east of);57 46 N;152 34 W;XII;EE
Alaska;ALS;518.0;X;NOJ;Kodiak (west of);57 46 N;152 34 W;XII;EE
Algeria;ALG;518.0;B;7TA;Alger Radio;36 40 N;03 18 E;III;EE
Argentina;ARG;518.0;A;L3K;Ushuaia;54 48 S;68 18 W;VI;SS
Argentina;ARG;518.0;B;L3D;Rio Gallegos;51 37 S;69 03 W;VI;SS
Argentina;ARG;518.0;C;L2W;Comodoro Rivadavia;45 51 S;67 25 W;VI;SS
Argentina;ARG;518.0;D;L2l;Bahia Blanca;38 43 S;62 6 W;VI;SS
Argentina;ARG;518.0;E;L2P;Mar del Plata;38 03 S;57 32 W;VI;SS
Argentina;ARG;518.0;H;L2B;Buenos Aires;34 27 S;58 37 W;VI;SS
Argentina;ARG;518.0;M;L3K;Ushuaia;54 48 S;68 18 W;VI;EE
Argentina;ARG;518.0;N;L3D;Rio Gallegos;51 37 S;69 03 W;VI;EE
Argentina;ARG;518.0;O;L2W;Comodoro Rivadavia;45 51 S;67 25 W;VI;EE
Argentina;ARG;518.0;P;L2l;Bahia Blanca;38 43 S;62 6 W;VI;EE
Argentina;ARG;518.0;O;L2P;Mar del Plata;38 03 S;57 32 W;VI;EE
Argentina;ARG;518.0;R;L2B;Buenos Aires;34 27 S;58 37 W;VI;EE
Azores;AZR;518.0;F;CTH;Horta;38 32 N;28 38 W;II;EE
Bahrain;BHR;518.0;B;A9M;Amala;26 13 N;50 39 E;IX;EE
Belgium;BEL;518.0;M;OST;Oostende (Thames);51 11 N;02 48 E;I;EE
Belgium;BEL;518.0;T;OST;Oostende;51 11 N;02 48 E;I;EE
Bermuda;BER;518.0;B;ZBM;Bermuda Harbour;32 23 N;64 41 W;IV;EE
Bulgaria;BUL;518.0;J;LZW;Varna;43 04 N;27 46 E;III;EE
Canada;CAN;518.0;C;VOK;Riviere-au-Renard, OC;50 11 N;66 07 W;IV;EE
Canada;CAN;518.0;D;VAJ;Prince Rupert, BC;54 18 N;130 25 W;XII;EE
Canada;CAN;518.0;H;XMJ;329 Prescott, ON;45 42 N;125 32 W;IV;EE
Canada;CAN;518.0;H;XLK835;Tofino, BC;48 56 N;125 32 W;XII;EE
Canada;CAN;518.0;O;VON;St. Johns, NL;47 37 N;52 40 W;IV;EE
Canada;CAN;518.0;P;XLJ;895 Thunder Bay, ON;48 26 N;89 13 W;IV;EE
Canada;CAN;518.0;O;VCO;Sydney, NS;46 11 N;59 54 W;IV;EE
Canada;CAN;518.0;T;VFF;Iqaluit, NT;63 44 N;68 33 W;IV;EE
Canada;CAN;518.0;U;VAR-3;Fundy, NB;45 14 N;65 59 W;IV;EE
Canada;CAN;518.0;X;VOK;Labrador, NL;53 18 N;60 33 W;IV;EE
Canary Isles;CNR;518.0;I;EAL;Las Palmas;28 09 N;15 25 W;II;EE
Cape Verde;CPV;518.0;U;D4A;San Vicente;16 51 N;25 00 W;II;EE
Chile;CHL;518.0;I;CBV;Valparaiso;32 48 S;71 29 W;XV;SS
Chile;CHL;518.0;A;CBA;Antofgasta;23 40 S;70 25 W;XV;EE
Chile;CHL;518.0;B;CBV;Valparaiso;32 48 S;71 29 W;XV;EE
Chile;CHL;518.0;C;CBT;Talcahuano;36 42 S;73 6 W;XV;EE
Chile;CHL;518.0;D;CBP;Puerto Montt;41 29 S;72 57 W;XV;EE
Chile;CHL;518.0;E;CBM;Magallenes;52 56 S;70 54 W;XV;EE
Chile;CHL;518.0;H;CBA;Antofgasta;23 40 S;70 25 W;XV;SS
Chile;CHL;518.0;J;CBT;Talcahuano;36 42 S;73 06 W;XV;SS
Chile;CHL;518.0;K;CBP;Puerto Montt;41 29 S;72 57 W;XV;EE
Chile;CHL;518.0;L;CBM;Magallenes;52 56 S;70 54 W;XV;SS
China;CHN;518.0;L;VRX;Hong Kong;22 13 N;114 15 E;XI;EE
China;CHN;518.0;M;XSI;Sanya;18 14 N;109 30 E;XI;EE/CC
China;CHN;518.0;N;XSO;Guangzhou;23 09 N;113 29 E;XI;EE/CC
China;CHN;518.0;O;XSL;Foochow;26 02 N;119 18 E;XI;EE
China;CHN;518.0;O;XSG;Shanghai;31 07 N;121 33 E;XI;EE
